t,u,v,w
1.5,-0.0286,-0.0418,-0.01315
1.51,-0.0286,-0.0418,-0.01315
1.52,-0.0286,-0.0418,-0.01315
1.53,-0.0286,-0.0418,-0.01315
1.54,-0.0286,-0.0391,-0.01315
1.55,-0.0286,-0.0233,-0.01315
1.56,-0.0286,-0.0233,-0.01315
1.57,-0.0286,-0.0606,-0.01315
1.58,-0.0286,-0.0606,-0.01315
1.59,-0.029,-0.0606,-0.01315
1.6,-0.0286,-0.0606,-0.01315
1.61,-0.0286,-0.0606,-0.01315
1.62,0.0085,-0.0606,-0.01315
1.63,0.0199,-0.0606,-0.01315
1.64,0.0199,-0.0606,-0.01315
1.65,0.0199,-0.0606,-0.01315
1.66,0.0199,-0.0606,-0.01315
1.67,0.0199,-0.0606,-0.01315
1.68,0.0199,-0.0606,-0.01315
1.69,0.0199,-0.0606,-0.01315
1.7,0.0199,-0.0606,-0.013
1.71,0.0199,-0.0606,-0.01315
1.72,0.0199,-0.0978,-0.01315
1.73,0.0199,-0.0415,-0.01315
1.74,0.0313,-0.0836,-0.01315
1.75,-0.0009,-0.1257,0.0059
1.76,-0.0009,-0.0872,-0.006225000000000001
1.77,-0.0009,-0.0486,-0.006225000000000001
1.78,-0.0332,-0.0182,-0.006225000000000001
1.79,-0.0289,-0.0182,-0.006
1.8,-0.0289,-0.0182,-0.006225000000000001
1.81,-0.0289,-0.0182,-0.006225000000000001
1.82,-0.0246,-0.0182,-0.006225000000000001
1.83,-0.0329,-0.0182,-0.006225000000000001
1.84,-0.0329,-0.0182,-0.006225000000000001
1.85,-0.0329,-0.0182,-0.006225000000000001
1.86,-0.0329,-0.0182,-0.006225000000000001
1.87,-0.0329,-0.0182,-0.006
1.88,-0.033,-0.0182,-0.006225000000000001
1.89,-0.0329,-0.018,-0.006
1.9,-0.0329,-0.018,-0.006
1.91,-0.0329,-0.0182,-0.006225000000000001
1.92,-0.0329,-0.0182,-0.006225000000000001
1.93,-0.0329,0.0121,-0.006225000000000001
1.94,-0.0329,-0.0012,-0.006225000000000001
1.95,-0.0329,-0.0012,-0.006225000000000001
1.96,-0.0329,-0.0144,-0.006225000000000001
1.97,-0.0329,-0.014,-0.006225000000000001
1.98,-0.0329,-0.013,-0.006
1.99,-0.033,-0.013,-0.006225000000000001
2.0,-0.0329,-0.013,-0.006
2.01,-0.033,-0.013,-0.006
2.02,-0.0329,-0.013,-0.006225000000000001
2.03,-0.0329,-0.013,-0.006225000000000001
2.04,-0.0329,-0.0119,-0.006225000000000001
2.05,-0.0329,-0.0092,-0.006225000000000001
2.06,-0.0329,-0.0092,-0.006225000000000001
2.07,-0.0412,-0.0092,-0.006225000000000001
2.08,-0.0493,-0.0064,-0.006225000000000001
2.09,-0.027,-0.0064,-0.006225000000000001
2.1,-0.027,-0.0026,-0.006225000000000001
2.11,-0.027,-0.0026,-0.006225000000000001
2.12,-0.027,-0.0026,-0.006225000000000001
2.13,-0.027,-0.003,-0.006
2.14,-0.027,-0.0026,-0.006225000000000001
2.15,-0.027,-0.0026,-0.006225000000000001
2.16,-0.027,-0.0026,-0.006225000000000001
2.17,-0.0046,0.0012,-0.01835
2.18,0.0046,0.0005,-0.017925000000000003
2.19,0.0046,-0.0002,-0.017925000000000003
2.2,0.005,-0.0218,-0.017925000000000003
2.21,0.0046,-0.0218,-0.017925000000000003
2.22,0.0046,-0.0218,-0.017925000000000003
2.23,0.0046,-0.0218,-0.017925000000000003
2.24,0.0046,-0.0218,-0.017925000000000003
2.25,0.0138,-0.0218,-0.017925000000000003
2.26,-0.0664,-0.0218,-0.017925000000000003
2.27,-0.0478,-0.0218,-0.017925000000000003
2.28,-0.0478,-0.0218,-0.017925000000000003
2.29,-0.0478,-0.0218,-0.018
2.3,-0.0478,-0.0218,-0.017925000000000003
2.31,-0.0291,-0.0435,-0.017925000000000003
2.32,-0.0306,-0.0304,-0.017925000000000003
2.33,-0.0306,-0.0172,-0.017925000000000003
2.34,-0.0306,-0.007,-0.017925000000000003
2.35,-0.0306,0.004,-0.017925000000000003
2.36,-0.0306,0.0118,-0.017925000000000003
2.37,-0.0306,0.0118,-0.017925000000000003
2.38,-0.0306,0.0195,-0.017925000000000003
2.39,-0.0306,0.0089,-0.017925000000000003
2.4,-0.0306,0.0089,-0.017925000000000003
2.41,-0.0306,0.009,-0.017925000000000003
2.42,-0.0306,0.0089,-0.017925000000000003
2.43,-0.0306,-0.0017,-0.017925000000000003
2.44,-0.0306,0.0048,-0.017925000000000003
2.45,-0.0306,0.0048,-0.017925000000000003
2.46,-0.0321,0.0113,-0.0175
2.47,-0.0288,0.015,-0.014850000000000002
2.48,-0.0206,0.015,-0.014850000000000002
2.49,-0.0206,0.015,-0.014850000000000002
2.5,-0.0206,0.0188,-0.014850000000000002
2.51,-0.0206,-0.0068,-0.014850000000000002
2.52,-0.0123,-0.0068,-0.014850000000000002
2.53,-0.0158,-0.0068,-0.014850000000000002
2.54,-0.0158,-0.0324,-0.014850000000000002
2.55,-0.0194,-0.0396,-0.014850000000000002
2.56,-0.0275,-0.0396,-0.014850000000000002
2.57,-0.0356,-0.0396,-0.014850000000000002
2.58,-0.029,-0.0396,-0.014850000000000002
2.59,-0.0183,-0.0396,-0.014850000000000002
2.6,-0.0183,-0.0396,-0.014850000000000002
2.61,-0.0076,-0.0396,-0.014850000000000002
2.62,-0.0234,-0.0396,-0.014850000000000002
2.63,-0.0583,-0.0396,-0.014850000000000002
2.64,-0.0352,-0.0396,-0.014850000000000002
2.65,-0.0352,-0.0396,-0.014850000000000002
2.66,-0.0352,-0.0396,-0.014850000000000002
2.67,-0.0352,-0.04,-0.014850000000000002
2.68,-0.0352,-0.0396,-0.014850000000000002
2.69,-0.0352,-0.0396,-0.014850000000000002
2.7,-0.0352,-0.0396,-0.014850000000000002
2.71,-0.0352,-0.0467,-0.014850000000000002
2.72,-0.012,-0.0135,-0.014850000000000002
2.73,-0.0113,-0.0135,-0.014850000000000002
2.74,-0.0208,-0.0054,-0.014850000000000002
2.75,-0.0384,-0.0054,-0.014850000000000002
2.76,-0.0384,-0.0054,-0.014850000000000002
2.77,-0.038,-0.005,-0.015
2.78,-0.038,-0.0054,-0.014850000000000002
2.79,-0.0384,-0.0054,-0.014850000000000002
2.8,-0.0561,-0.0054,-0.014850000000000002
2.81,-0.0607,-0.0054,-0.014850000000000002
2.82,0.0315,-0.0054,-0.014850000000000002
2.83,0.0013,-0.0054,-0.014850000000000002
2.84,0.0013,-0.0054,-0.014850000000000002
2.85,0.0013,-0.0054,-0.014850000000000002
2.86,-0.0289,0.0028,-0.014850000000000002
2.87,-0.0433,0.0024,-0.014850000000000002
2.88,-0.0577,0.0024,-0.014850000000000002
2.89,-0.0394,0.0024,-0.014850000000000002
2.9,-0.0394,0.002,-0.014850000000000002
2.91,-0.0394,0.002,-0.015
2.92,-0.0394,0.0024,-0.015
2.93,-0.0394,0.0024,-0.014850000000000002
