Timezero,U,V,W,U_avg,V_avg,W_avg,U',V',W',U'',V'',W'',U'V',V'W',W'U',U''_Avg,V''_Avg,W''_Avg,U'V'_Avg,V'W'_Avg,W'U'_Avg,TKE
6.125,169.0925,4.6875,20.25,124.828,1.853,17.389,44.264,2.835,2.861,1959.346,8.034,8.185,125.468,8.11,126.641,1973.66,297.703,160.452,113.354,59.052,71.603,1215.908
6.15,168.7,3.2275,20.61,124.911,1.854,17.387,43.789,1.373,3.223,1917.477,1.887,10.388,60.144,4.427,141.132,1972.205,297.42,160.291,113.277,58.991,71.577,1214.958
6.175,169.0,2.075,20.5025,124.993,1.855,17.384,44.007,0.22,3.119,1936.616,0.048,9.725,9.682,0.686,137.236,1970.743,297.135,160.13,113.199,58.93,71.551,1214.004
6.2,168.9375,1.2225,20.295,125.075,1.856,17.382,43.862,-0.634,2.913,1923.919,0.401,8.486,-27.787,-1.845,127.771,1969.274,296.849,159.968,113.121,58.869,71.524,1213.045
6.225,168.3775,1.1325,20.3025,125.157,1.857,17.379,43.221,-0.724,2.923,1868.012,0.525,8.547,-31.313,-2.118,126.355,1967.796,296.562,159.806,113.043,58.807,71.497,1212.082
6.25,167.56,1.3225,20.15,125.239,1.858,17.377,42.321,-0.536,2.773,1791.067,0.287,7.69,-22.663,-1.485,117.356,1966.311,296.274,159.643,112.964,58.746,71.47,1211.114
6.275,166.6525,1.7775,19.9475,125.321,1.859,17.374,41.332,-0.081,2.574,1708.293,0.007,6.623,-3.369,-0.21,106.367,1964.819,295.984,159.48,112.885,58.684,71.442,1210.141
6.3,165.255,3.0475,19.065,125.402,1.861,17.371,39.853,1.186,1.694,1588.262,1.408,2.87,47.286,2.01,67.511,1963.319,295.694,159.316,112.805,58.621,71.414,1209.164
6.325,163.755,5.16,17.8575,125.484,1.862,17.369,38.271,3.298,0.489,1464.669,10.877,0.239,126.218,1.611,18.695,1961.811,295.402,159.151,112.725,58.559,71.386,1208.182
6.35,163.0225,6.59,16.1725,125.565,1.863,17.366,37.458,4.727,-1.194,1403.064,22.345,1.424,177.062,-5.642,-44.706,1960.295,295.109,158.986,112.645,58.496,71.358,1207.195
6.375,162.97,6.8175,16.445,125.647,1.864,17.364,37.323,4.954,-0.919,1393.006,24.537,0.845,184.879,-4.552,-34.3,1958.772,294.815,158.82,112.564,58.433,71.329,1206.204
6.4,161.97,7.34,17.045,125.728,1.865,17.361,36.242,5.475,-0.316,1313.483,29.976,0.1,198.425,-1.73,-11.452,1957.242,294.52,158.653,112.482,58.37,71.3,1205.207
6.425,161.65,6.97,17.5375,125.809,1.866,17.359,35.841,5.104,0.178,1284.577,26.051,0.032,182.932,0.911,6.398,1955.704,294.223,158.486,112.4,58.307,71.27,1204.207
6.45,162.945,5.995,17.47,125.89,1.867,17.356,37.055,4.128,0.114,1373.073,17.04,0.013,152.963,0.471,4.224,1954.158,293.926,158.318,112.318,58.243,71.241,1203.201
6.475,162.5125,5.825,16.5775,125.97,1.868,17.353,36.542,3.957,-0.776,1335.354,15.658,0.601,144.599,-3.069,-28.339,1952.605,293.627,158.15,112.235,58.179,71.211,1202.191
6.5,161.69,5.8225,15.675,126.051,1.869,17.351,35.639,3.954,-1.676,1270.138,15.63,2.809,140.899,-6.626,-59.731,1951.044,293.327,157.981,112.152,58.115,71.181,1201.176
6.525,160.3375,5.445,14.87,126.131,1.87,17.348,34.207,3.575,-2.478,1170.085,12.781,6.14,122.288,-8.859,-84.764,1949.476,293.026,157.811,112.068,58.051,71.15,1200.157
6.55,156.9975,4.6575,13.5375,126.211,1.871,17.345,30.787,2.786,-3.807,947.809,7.765,14.497,85.787,-10.61,-117.22,1947.9,292.724,157.641,111.984,57.986,71.119,1199.133
6.575,153.935,4.025,12.7575,126.292,1.872,17.343,27.643,2.153,-4.585,764.135,4.635,21.027,59.515,-9.873,-126.757,1946.317,292.421,157.471,111.9,57.922,71.088,1198.104
6.6,150.1325,3.915,12.455,126.372,1.873,17.34,23.76,2.042,-4.885,564.561,4.17,23.863,48.519,-9.975,-116.07,1944.727,292.116,157.299,111.815,57.857,71.057,1197.071
6.625,149.38,3.9575,12.09,126.452,1.874,17.337,22.928,2.083,-5.247,525.693,4.341,27.531,47.77,-10.932,-120.303,1943.128,291.811,157.127,111.73,57.791,71.025,1196.033
