Timezero,U,V,W,U_avg,V_avg,W_avg,U',V',W',U'',V'',W'',U'V',V'W',W'U',U''_Avg,V''_Avg,W''_Avg,U'V'_Avg,V'W'_Avg,W'U'_Avg,TKE
7.4,158.3325,4.245,18.4475,128.857,1.903,17.25,29.476,2.342,1.198,868.805,5.485,1.434,69.032,2.805,35.297,1889.954,281.784,151.513,108.872,55.657,69.899,1161.625
7.425,160.2775,3.5075,19.18,128.932,1.904,17.247,31.346,1.603,1.933,982.54,2.571,3.736,50.263,3.1,60.591,1888.124,281.443,151.323,108.773,55.584,69.858,1160.445
7.45,161.72,2.7125,18.95,129.007,1.905,17.244,32.713,0.807,1.706,1070.14,0.652,2.91,26.416,1.378,55.808,1886.287,281.101,151.133,108.674,55.512,69.817,1159.26
7.475,165.0375,3.495,19.15,129.082,1.906,17.242,35.956,1.589,1.908,1292.798,2.525,3.64,57.133,3.032,68.603,1884.442,280.758,150.942,108.574,55.439,69.775,1158.071
7.5,166.1675,4.08,18.035,129.157,1.907,17.239,37.01,2.173,0.796,1369.777,4.722,0.634,80.424,1.73,29.46,1882.591,280.414,150.75,108.474,55.366,69.734,1156.878
7.525,167.0825,4.305,17.3825,129.232,1.907,17.236,37.851,2.398,0.146,1432.66,5.75,0.021,90.765,0.351,5.545,1880.733,280.069,150.558,108.373,55.293,69.692,1155.68
7.55,168.84,3.2575,17.33,129.306,1.908,17.233,39.534,1.349,0.097,1562.937,1.821,0.009,53.351,0.131,3.835,1878.867,279.723,150.365,108.273,55.219,69.649,1154.477
7.575,169.3925,1.9175,17.545,129.381,1.909,17.23,40.012,0.008,0.315,1600.92,0.0,0.099,0.34,0.003,12.604,1876.995,279.375,150.172,108.171,55.146,69.607,1153.271
7.6,169.045,1.5075,17.6,129.455,1.91,17.227,39.59,-0.402,0.373,1567.368,0.162,0.139,-15.935,-0.15,14.767,1875.116,279.027,149.978,108.069,55.072,69.564,1152.061
7.625,168.42,1.2475,17.6725,129.529,1.91,17.224,38.891,-0.662,0.448,1512.51,0.439,0.201,-25.765,-0.297,17.443,1873.23,278.678,149.783,107.967,54.998,69.521,1150.845
7.65,167.7925,1.57,16.6625,129.603,1.911,17.221,38.189,-0.341,-0.558,1458.438,0.116,0.312,-13.023,0.19,-21.329,1871.337,278.328,149.589,107.865,54.923,69.478,1149.627
7.675,166.2925,3.4425,14.8925,129.677,1.912,17.218,36.615,1.53,-2.325,1340.695,2.342,5.408,56.04,-3.559,-85.149,1869.437,277.976,149.393,107.762,54.849,69.434,1148.403
7.7,163.73,4.7225,13.8075,129.75,1.913,17.214,33.98,2.809,-3.406,1154.64,7.893,11.604,95.467,-9.571,-115.753,1867.53,277.624,149.197,107.658,54.774,69.39,1147.176
7.725,161.305,3.3175,13.945,129.824,1.913,17.211,31.481,1.404,-3.266,991.053,1.973,10.667,44.215,-4.587,-102.817,1865.617,277.27,149.001,107.555,54.699,69.346,1145.944
7.75,159.2225,2.1125,14.4425,129.897,1.914,17.208,29.326,0.198,-2.765,859.985,0.039,7.648,5.821,-0.549,-81.1,1863.696,276.916,148.804,107.451,54.624,69.301,1144.708
7.775,157.2825,1.3225,15.295,129.97,1.915,17.205,27.312,-0.593,-1.91,745.973,0.351,3.648,-16.183,1.132,-52.167,1861.769,276.561,148.606,107.346,54.549,69.257,1143.468
7.8,156.1825,1.175,16.1175,130.043,1.916,17.202,26.139,-0.741,-1.085,683.273,0.549,1.176,-19.369,0.804,-28.348,1859.834,276.204,148.408,107.241,54.473,69.212,1142.223
7.825,155.445,0.9775,16.5,130.116,1.916,17.199,25.329,-0.938,-0.699,641.558,0.881,0.489,-23.771,0.656,-17.705,1857.893,275.847,148.21,107.136,54.398,69.166,1140.975
7.85,154.6925,1.145,16.5375,130.189,1.917,17.196,24.504,-0.772,-0.659,600.422,0.596,0.434,-18.917,0.508,-16.136,1855.945,275.488,148.01,107.03,54.322,69.121,1139.722
7.875,153.5975,1.57,16.07,130.261,1.918,17.193,23.337,-0.348,-1.123,544.592,0.121,1.261,-8.121,0.391,-26.207,1853.991,275.129,147.811,106.924,54.245,69.075,1138.466
7.9,154.4675,2.4775,16.0025,130.334,1.918,17.19,24.133,0.56,-1.188,582.426,0.313,1.41,13.503,-0.664,-28.659,1852.029,274.768,147.611,106.817,54.169,69.029,1137.204
7.925,155.465,3.445,15.9,130.406,1.919,17.187,25.059,1.526,-1.287,627.953,2.329,1.656,38.24,-1.964,-32.251,1850.061,274.406,147.41,106.71,54.093,68.982,1135.938
7.95,156.95,5.1325,15.8075,130.478,1.92,17.184,26.472,3.213,-1.377,700.767,10.32,1.895,85.041,-4.422,-36.439,1848.086,274.044,147.209,106.603,54.016,68.936,1134.669
7.975,157.6975,6.205,16.2275,130.55,1.92,17.181,27.147,4.285,-0.954,736.987,18.361,0.909,116.327,-4.086,-25.885,1846.104,273.68,147.007,106.495,53.939,68.889,1133.396
8.0,157.555,5.795,16.285,130.622,1.921,17.177,26.933,3.874,-0.892,725.386,15.008,0.796,104.338,-3.456,-24.024,1844.116,273.316,146.805,106.387,53.862,68.841,1132.118
8.025,156.7525,3.705,16.3425,130.694,1.922,17.174,26.059,1.783,-0.831,679.045,3.179,0.691,46.462,-1.483,-21.668,1842.121,272.95,146.602,106.278,53.784,68.794,1130.836
8.05,154.7325,0.74,15.935,130.765,1.922,17.171,23.968,-1.182,-1.236,574.441,1.397,1.528,-28.33,1.461,-29.624,1840.119,272.584,146.399,106.17,53.707,68.746,1129.551
8.075,152.5,-2.11,14.7875,130.836,1.923,17.168,21.664,-4.033,-2.38,469.329,16.265,5.667,-87.371,9.601,-51.571,1838.111,272.216,146.195,106.06,53.629,68.698,1128.261
8.1,150.6225,-3.295,13.8525,130.908,1.924,17.165,19.715,-5.219,-3.312,388.662,27.238,10.973,-102.89,17.288,-65.304,1836.096,271.848,145.991,105.951,53.551,68.65,1126.967
8.125,149.8725,-1.2375,13.74,130.979,1.924,17.162,18.893,-3.162,-3.422,356.964,9.995,11.71,-59.732,10.819,-64.654,1834.074,271.478,145.786,105.84,53.473,68.601,1125.669
8.15,149.835,-0.045,13.285,131.05,1.925,17.158,18.785,-1.97,-3.873,352.876,3.881,15.0,-37.006,7.63,-72.754,1832.045,271.107,145.581,105.73,53.394,68.552,1124.367
8.175,149.58,0.485,12.4575,131.12,1.925,17.155,18.46,-1.44,-4.698,340.772,2.074,22.067,-26.582,6.764,-86.716,1830.01,270.736,145.375,105.619,53.316,68.503,1123.061
8.2,150.02,1.9275,12.12,131.191,1.926,17.152,18.829,0.002,-5.032,354.531,0.0,25.321,0.028,-0.008,-94.748,1827.969,270.364,145.169,105.508,53.237,68.454,1121.751
8.225,150.8475,2.3875,12.1225,131.261,1.927,17.149,19.587,0.461,-5.027,383.631,0.212,25.266,9.02,-2.315,-98.452,1825.921,269.99,144.963,105.396,53.158,68.404,1120.437
8.25,151.175,2.655,12.085,131.332,1.927,17.146,19.843,0.728,-5.061,393.745,0.53,25.614,14.446,-3.684,-100.425,1823.866,269.616,144.755,105.284,53.079,68.354,1119.119
8.275,151.9625,4.755,11.785,131.402,1.928,17.142,20.561,2.827,-5.357,422.734,7.992,28.697,58.125,-15.144,-110.143,1821.805,269.24,144.548,105.172,53.0,68.304,1117.796
8.3,152.3275,5.8625,11.55,131.472,1.928,17.139,20.855,3.934,-5.589,434.952,15.48,31.237,82.056,-21.99,-116.561,1819.737,268.864,144.339,105.059,52.92,68.254,1116.47
8.325,152.365,6.1775,12.175,131.541,1.929,17.136,20.824,4.248,-4.961,433.639,18.05,24.612,88.471,-21.077,-103.308,1817.662,268.487,144.131,104.946,52.84,68.203,1115.14
8.35,150.705,5.12,12.9075,131.611,1.93,17.133,19.094,3.19,-4.225,364.581,10.176,17.855,60.91,-13.479,-80.682,1815.582,268.108,143.922,104.832,52.76,68.152,1113.806
8.375,149.6125,4.4275,12.935,131.681,1.93,17.13,17.931,2.498,-4.195,321.539,6.238,17.598,44.784,-10.477,-75.223,1813.494,267.729,143.712,104.718,52.68,68.101,1112.467
8.4,148.53,3.3425,13.0025,131.75,1.931,17.126,16.78,1.411,-4.124,281.568,1.992,17.003,23.685,-5.82,-69.192,1811.4,267.349,143.502,104.604,52.6,68.049,1111.126
8.425,147.9875,2.375,13.155,131.819,1.931,17.123,16.169,0.444,-3.968,261.42,0.197,15.745,7.179,-1.762,-64.157,1809.3,266.968,143.291,104.489,52.519,67.997,1109.78
8.45,147.775,1.0925,13.215,131.888,1.932,17.12,15.887,-0.839,-3.905,252.397,0.705,15.249,-13.337,3.278,-62.039,1807.193,266.586,143.08,104.374,52.439,67.945,1108.429
8.475,148.6525,0.35,13.395,131.957,1.932,17.116,16.696,-1.582,-3.721,278.74,2.503,13.846,-26.412,5.887,-62.124,1805.08,266.203,142.868,104.259,52.358,67.893,1107.075
8.5,149.8125,0.2525,13.84,132.026,1.933,17.113,17.786,-1.681,-3.273,316.36,2.824,10.713,-29.89,5.5,-58.215,1802.961,265.819,142.656,104.143,52.277,67.84,1105.718
8.525,151.19,0.6475,14.1275,132.094,1.933,17.11,19.096,-1.286,-2.982,364.657,1.653,8.895,-24.548,3.834,-56.954,1800.835,265.434,142.444,104.027,52.195,67.788,1104.357
8.55,152.6425,1.1625,14.8575,132.163,1.934,17.107,20.48,-0.771,-2.249,419.41,0.595,5.06,-15.8,1.735,-46.069,1798.702,265.048,142.231,103.91,52.114,67.734,1102.99
8.575,154.31,1.6775,16.5375,132.231,1.934,17.103,22.079,-0.256,-0.566,487.482,0.066,0.32,-5.663,0.145,-12.486,1796.564,264.661,142.017,103.793,52.032,67.681,1101.621
8.6,155.785,2.0,17.1825,132.299,1.935,17.1,23.486,0.065,0.082,551.592,0.004,0.007,1.527,0.005,1.938,1794.419,264.273,141.803,103.676,51.95,67.627,1100.247
8.625,156.05,1.26,16.57,132.367,1.935,17.097,23.683,-0.675,-0.527,560.884,0.456,0.278,-15.986,0.356,-12.481,1792.267,263.885,141.589,103.558,51.868,67.574,1098.87
8.65,155.22,-0.3725,16.015,132.434,1.936,17.093,22.786,-2.308,-1.078,519.202,5.329,1.162,-52.601,2.489,-24.563,1790.11,263.495,141.374,103.44,51.786,67.519,1097.489
8.675,154.3475,-1.555,15.4175,132.502,1.936,17.09,21.845,-3.491,-1.672,477.226,12.187,2.797,-76.263,5.839,-36.537,1787.946,263.104,141.158,103.322,51.704,67.465,1096.104
8.7,152.77,-2.4975,15.025,132.57,1.937,17.087,20.2,-4.434,-2.062,408.04,19.665,4.252,-89.577,9.144,-41.652,1785.775,262.713,140.943,103.203,51.621,67.41,1094.716
8.725,149.4625,-3.1325,13.62,132.637,1.937,17.083,16.826,-5.069,-3.463,283.097,25.7,11.992,-85.297,17.556,-58.267,1783.599,262.321,140.726,103.084,51.538,67.355,1093.323
8.75,147.405,-2.5,11.99,132.704,1.938,17.08,14.701,-4.438,-5.09,216.119,19.696,25.908,-65.243,22.589,-74.828,1781.416,261.927,140.509,102.964,51.455,67.3,1091.926
8.775,144.94,-0.72,10.4025,132.771,1.938,17.077,12.169,-2.658,-6.675,148.085,7.065,44.549,-32.345,17.741,-81.222,1779.227,261.533,140.292,102.844,51.372,67.245,1090.526
8.8,142.475,0.6725,9.9425,132.838,1.939,17.073,9.637,-1.267,-7.13,92.872,1.604,50.844,-12.205,9.031,-68.717,1777.032,261.138,140.074,102.724,51.289,67.189,1089.122
8.825,140.025,0.15,10.55,132.904,1.939,17.07,7.121,-1.789,-6.52,50.709,3.201,42.51,-12.739,11.664,-46.429,1774.83,260.742,139.856,102.603,51.205,67.133,1087.714
8.85,138.615,-1.4375,11.49,132.971,1.939,17.067,5.644,-3.377,-5.577,31.855,11.401,31.103,-19.057,18.831,-31.477,1772.623,260.345,139.638,102.482,51.122,67.077,1086.303
8.875,137.655,-1.66,12.2025,133.037,1.94,17.063,4.618,-3.6,-4.86,21.326,12.96,23.624,-16.625,17.498,-22.446,1770.409,259.947,139.419,102.361,51.038,67.021,1084.888
8.9,137.36,-1.4475,12.7975,133.103,1.94,17.06,4.257,-3.388,-4.262,18.122,11.475,18.169,-14.421,14.439,-18.145,1768.189,259.549,139.199,102.239,50.954,66.964,1083.468
8.925,137.0325,-0.5875,13.0875,133.169,1.941,17.056,3.863,-2.529,-3.969,14.927,6.393,15.749,-9.769,10.034,-15.332,1765.963,259.149,138.979,102.117,50.87,66.907,1082.045
8.95,137.165,0.8025,13.1675,133.235,1.941,17.053,3.93,-1.139,-3.886,15.445,1.296,15.097,-4.474,4.424,-15.27,1763.731,258.749,138.759,101.994,50.785,66.85,1080.62
8.975,137.105,2.23,12.8925,133.301,1.941,17.05,3.804,0.289,-4.158,14.47,0.084,17.285,1.099,-1.202,-15.815,1761.493,258.347,138.538,101.871,50.701,66.792,1079.189
9.0,137.015,3.3225,13.1025,133.366,1.942,17.046,3.649,1.38,-3.944,13.315,1.906,15.551,5.037,-5.444,-14.39,1759.248,257.945,138.316,101.748,50.616,66.734,1077.755
9.025,136.7275,3.6125,13.28,133.432,1.942,17.043,3.296,1.67,-3.763,10.86,2.791,14.16,5.505,-6.286,-12.401,1756.998,257.542,138.095,101.625,50.531,66.676,1076.317
9.05,136.265,2.7875,12.6825,133.497,1.943,17.039,2.768,0.845,-4.357,7.662,0.713,18.979,2.338,-3.679,-12.059,1754.742,257.138,137.872,101.501,50.446,66.618,1074.876
9.075,136.365,1.3975,11.46,133.562,1.943,17.036,2.803,-0.546,-5.576,7.857,0.298,31.092,-1.529,3.042,-15.63,1752.479,256.733,137.65,101.377,50.361,66.56,1073.431
9.1,138.74,0.7025,11.005,133.627,1.943,17.032,5.113,-1.24,-6.027,26.143,1.539,36.325,-6.343,7.476,-30.816,1750.21,256.327,137.427,101.252,50.275,66.501,1071.982
9.125,140.7075,1.1725,11.5525,133.691,1.944,17.029,7.017,-0.771,-5.476,49.231,0.595,29.992,-5.413,4.225,-38.426,1747.936,255.921,137.203,101.127,50.189,66.442,1070.53
9.15,141.8975,2.5125,13.08,133.756,1.944,17.025,8.142,0.569,-3.945,66.284,0.323,15.563,4.628,-2.243,-32.118,1745.655,255.513,136.979,101.002,50.104,66.383,1069.073
9.175,142.06,4.355,16.4175,133.82,1.944,17.022,8.24,2.411,-0.604,67.898,5.813,0.365,19.867,-1.457,-4.981,1743.369,255.105,136.755,100.876,50.018,66.323,1067.614
9.2,141.4125,5.4775,17.3125,133.885,1.945,17.019,7.528,3.532,0.294,56.663,12.479,0.086,26.591,1.037,2.209,1741.077,254.696,136.53,100.75,49.932,66.263,1066.151
9.225,140.76,6.165,17.125,133.949,1.945,17.015,6.811,4.22,0.11,46.39,17.808,0.012,28.742,0.464,0.749,1738.778,254.286,136.305,100.623,49.845,66.203,1064.685
9.25,140.2025,5.8975,15.6075,134.013,1.945,17.012,6.189,3.952,-1.405,38.31,15.622,1.973,24.464,-5.551,-8.693,1736.474,253.875,136.079,100.497,49.759,66.143,1063.214
9.275,139.9775,4.345,13.91,134.076,1.946,17.008,5.901,2.399,-3.098,34.828,5.755,9.598,14.158,-7.432,-18.283,1734.164,253.463,135.853,100.37,49.672,66.083,1061.74
9.3,140.3925,3.355,13.585,134.14,1.946,17.005,6.253,1.409,-3.42,39.094,1.985,11.696,8.81,-4.819,-21.384,1731.848,253.05,135.626,100.242,49.585,66.022,1060.262
9.325,140.4575,2.965,13.655,134.203,1.946,17.001,6.255,1.019,-3.346,39.119,1.038,11.196,6.373,-3.41,-20.928,1729.526,252.637,135.399,100.114,49.498,65.961,1058.781
9.35,140.6175,4.07,14.24,134.266,1.946,16.998,6.352,2.124,-2.758,40.342,4.511,7.607,13.491,-5.858,-17.517,1727.198,252.222,135.172,99.986,49.411,65.9,1057.296
9.375,140.1425,5.04,14.8025,134.33,1.947,16.994,5.812,3.093,-2.191,33.785,9.567,4.803,17.978,-6.778,-12.738,1724.865,251.807,134.944,99.858,49.324,65.838,1055.808
9.4,138.8675,5.6925,14.2225,134.392,1.947,16.991,4.476,3.745,-2.768,20.03,14.029,7.665,16.763,-10.369,-12.39,1722.525,251.391,134.716,99.729,49.236,65.777,1054.316
9.425,137.695,5.65,13.19,134.455,1.947,16.987,3.24,3.703,-3.797,10.498,13.712,14.417,11.998,-14.06,-12.302,1720.18,250.974,134.487,99.6,49.149,65.715,1052.821
9.45,136.93,4.9425,12.075,134.518,1.947,16.983,2.412,2.995,-4.908,5.818,8.973,24.088,7.225,-14.702,-11.838,1717.829,250.557,134.258,99.47,49.061,65.652,1051.322
9.475,136.9475,5.415,11.03,134.58,1.948,16.98,2.367,3.467,-5.95,5.605,12.02,35.403,8.208,-20.629,-14.087,1715.473,250.138,134.028,99.34,48.973,65.59,1049.819
9.5,136.5375,4.8075,10.695,134.642,1.948,16.976,1.895,2.86,-6.281,3.593,8.177,39.451,5.42,-17.961,-11.906,1713.11,249.719,133.799,99.21,48.884,65.527,1048.314
9.525,135.8675,4.1475,10.6825,134.705,1.948,16.973,1.162,2.2,-6.29,1.351,4.838,39.57,2.557,-13.836,-7.313,1710.742,249.299,133.568,99.08,48.796,65.464,1046.804
9.55,135.0275,3.74,10.9775,134.767,1.948,16.969,0.261,1.792,-5.992,0.068,3.211,35.898,0.467,-10.737,-1.561,1708.368,248.878,133.337,98.949,48.708,65.401,1045.291
9.575,134.28,3.56,11.9075,134.828,1.949,16.966,-0.548,1.611,-5.059,0.3,2.595,25.588,-0.883,-8.149,2.772,1705.989,248.456,133.106,98.818,48.619,65.338,1043.775
9.6,134.0575,3.8825,11.26,134.89,1.949,16.962,-0.832,1.933,-5.702,0.693,3.738,32.513,-1.61,-11.025,4.747,1703.603,248.034,132.875,98.686,48.53,65.274,1042.256
9.625,135.2975,4.155,10.6925,134.951,1.949,16.959,0.347,2.206,-6.266,0.12,4.866,39.269,0.764,-13.824,-2.171,1701.212,247.61,132.643,98.554,48.441,65.21,1040.733
9.65,137.065,3.94,11.225,135.013,1.949,16.955,2.052,1.991,-5.73,4.211,3.964,32.833,4.086,-11.408,-11.758,1698.816,247.186,132.41,98.422,48.352,65.146,1039.206
9.675,138.6825,3.68,11.5975,135.074,1.949,16.951,3.608,1.731,-5.354,13.021,2.996,28.66,6.246,-9.267,-19.318,1696.414,246.761,132.178,98.289,48.263,65.082,1037.677
9.7,138.835,3.4425,11.675,135.135,1.95,16.948,3.7,1.492,-5.273,13.69,2.228,27.805,5.522,-7.87,-19.51,1694.006,246.336,131.945,98.157,48.173,65.017,1036.144
9.725,138.5,3.0075,11.7675,135.195,1.95,16.944,3.305,1.057,-5.176,10.923,1.118,26.796,3.495,-5.474,-17.108,1691.593,245.909,131.711,98.023,48.084,64.952,1034.606
9.75,138.21,2.875,11.57,135.256,1.95,16.941,2.954,0.925,-5.371,8.726,0.856,28.848,2.732,-4.968,-15.866,1689.174,245.482,131.477,97.89,47.994,64.887,1033.066
9.775,137.985,3.1475,10.9025,135.316,1.95,16.937,2.669,1.198,-6.035,7.124,1.434,36.415,3.196,-7.226,-16.106,1686.75,245.054,131.243,97.756,47.904,64.822,1031.524
9.8,138.54,3.86,11.0125,135.377,1.95,16.933,3.163,1.91,-5.921,10.005,3.648,35.052,6.041,-11.308,-18.727,1684.32,244.625,131.008,97.622,47.814,64.756,1029.976
9.825,139.63,5.075,11.3825,135.437,1.95,16.93,4.193,3.125,-5.547,17.581,9.766,30.775,13.103,-17.336,-23.261,1681.884,244.195,130.773,97.487,47.724,64.69,1028.426
9.85,140.1875,6.96,11.47,135.497,1.951,16.926,4.69,5.009,-5.456,22.001,25.09,29.768,23.495,-27.329,-25.591,1679.443,243.764,130.537,97.352,47.633,64.624,1026.872
9.875,140.2025,8.0225,11.4375,135.557,1.951,16.922,4.645,6.072,-5.485,21.581,36.863,30.08,28.205,-33.299,-25.478,1676.997,243.333,130.301,97.217,47.543,64.558,1025.316
9.9,138.9275,8.75,11.315,135.616,1.951,16.919,3.311,6.799,-5.604,10.966,46.226,31.405,22.515,-38.102,-18.558,1674.545,242.901,130.065,97.082,47.452,64.492,1023.756
9.925,137.795,8.8825,11.6625,135.676,1.951,16.915,2.119,6.931,-5.252,4.49,48.046,27.589,14.688,-36.408,-11.13,1672.088,242.468,129.829,96.946,47.361,64.425,1022.192
9.95,136.965,8.0525,11.89,135.735,1.951,16.911,1.23,6.101,-5.021,1.513,37.228,25.21,7.505,-30.636,-6.176,1669.625,242.035,129.591,96.81,47.27,64.358,1020.626
9.975,136.1275,6.8125,11.7475,135.794,1.951,16.908,0.333,4.861,-5.161,0.111,23.634,26.631,1.621,-25.088,-1.721,1667.157,241.601,129.354,96.673,47.179,64.291,1019.056
10.0,135.0975,5.4975,11.755,135.853,1.951,16.904,-0.756,3.546,-5.149,0.571,12.578,26.512,-2.679,-18.261,3.89,1664.684,241.166,129.116,96.536,47.088,64.223,1017.483
10.025,134.6525,3.875,11.3075,135.912,1.951,16.901,-1.26,1.924,-5.594,1.586,3.702,31.287,-2.423,-10.762,7.045,1662.205,240.73,128.878,96.399,46.996,64.156,1015.906
10.05,134.99,3.7275,11.055,135.97,1.952,16.897,-0.98,1.776,-5.842,0.96,3.152,34.129,-1.74,-10.372,5.725,1659.721,240.293,128.64,96.262,46.904,64.088,1014.327
10.075,133.7825,4.925,9.9075,136.029,1.952,16.893,-2.246,2.973,-6.986,5.047,8.839,48.797,-6.679,-20.768,15.693,1657.231,239.856,128.401,96.124,46.813,64.02,1012.744
10.1,133.9225,5.005,10.0625,136.087,1.952,16.889,-2.164,3.053,-6.826,4.685,9.321,46.601,-6.608,-20.841,14.776,1654.736,239.418,128.161,95.986,46.721,63.951,1011.158
10.125,135.18,4.13,10.9525,136.145,1.952,16.886,-0.965,2.178,-5.933,0.931,4.744,35.206,-2.102,-12.923,5.726,1652.236,238.979,127.922,95.848,46.629,63.883,1009.569
10.15,136.95,2.67,13.145,136.203,1.952,16.882,0.747,0.718,-3.737,0.558,0.516,13.965,0.536,-2.683,-2.792,1649.731,238.539,127.682,95.709,46.536,63.814,1007.976
10.175,137.82,1.6575,14.2375,136.261,1.952,16.878,1.559,-0.294,-2.64,2.43,0.087,6.972,-0.459,0.778,-4.117,1647.22,238.099,127.441,95.57,46.444,63.745,1006.38
10.2,138.27,1.49,14.8025,136.319,1.952,16.875,1.951,-0.462,-2.072,3.806,0.213,4.295,-0.901,0.957,-4.043,1644.704,237.658,127.2,95.431,46.352,63.675,1004.781
10.225,139.055,1.3775,15.425,136.376,1.952,16.871,2.679,-0.575,-1.446,7.177,0.33,2.091,-1.539,0.831,-3.874,1642.183,237.216,126.959,95.291,46.259,63.606,1003.179
10.25,139.7425,1.3075,15.17,136.433,1.952,16.867,3.31,-0.644,-1.697,10.953,0.415,2.88,-2.133,1.094,-5.616,1639.657,236.774,126.718,95.151,46.166,63.536,1001.575
10.275,140.2375,1.3575,14.2825,136.49,1.952,16.864,3.748,-0.595,-2.582,14.044,0.353,6.664,-2.228,1.535,-9.674,1637.126,236.331,126.476,95.011,46.073,63.466,999.966
10.3,141.3575,1.2025,13.7525,136.547,1.952,16.86,4.81,-0.75,-3.107,23.141,0.562,9.657,-3.605,2.329,-14.949,1634.589,235.887,126.234,94.87,45.98,63.396,998.355
10.325,141.7375,1.015,13.84,136.604,1.952,16.856,5.133,-0.937,-3.016,26.353,0.878,9.096,-4.81,2.826,-15.483,1632.047,235.442,125.991,94.729,45.887,63.326,996.74
10.35,141.765,1.105,14.38,136.661,1.952,16.852,5.104,-0.847,-2.472,26.051,0.717,6.111,-4.323,2.094,-12.617,1629.5,234.997,125.748,94.588,45.794,63.255,995.123
10.375,139.965,0.4175,15.4975,136.717,1.952,16.849,3.248,-1.534,-1.351,10.55,2.355,1.827,-4.984,2.074,-4.39,1626.948,234.551,125.505,94.447,45.7,63.184,993.502
10.4,138.5775,-0.215,16.1575,136.774,1.952,16.845,1.803,-2.167,-0.688,3.253,4.696,0.473,-3.908,1.49,-1.24,1624.391,234.104,125.261,94.305,45.606,63.113,991.878
10.425,135.375,-0.2475,16.4525,136.83,1.952,16.841,-1.455,-2.2,-0.389,2.117,4.838,0.151,3.2,0.855,0.565,1621.829,233.657,125.018,94.163,45.513,63.042,990.252
10.45,132.5125,-0.85,17.1725,136.886,1.952,16.837,-4.374,-2.802,0.335,19.128,7.851,0.113,12.255,-0.94,-1.467,1619.262,233.208,124.773,94.02,45.419,62.97,988.621
10.475,128.9775,-1.2375,17.1625,136.941,1.952,16.834,-7.964,-3.189,0.329,63.417,10.173,0.108,25.4,-1.048,-2.616,1616.69,232.76,124.529,93.878,45.325,62.899,986.99
10.5,125.455,-1.5,13.9075,136.997,1.952,16.83,-11.542,-3.452,-2.922,133.218,11.916,8.541,39.843,10.088,33.731,1614.113,232.31,124.284,93.735,45.23,62.827,985.354
10.525,123.09,-1.5525,11.8225,137.052,1.952,16.826,-13.962,-3.505,-5.004,194.937,12.282,25.035,48.93,17.535,69.859,1611.531,231.86,124.038,93.591,45.136,62.754,983.715
10.55,121.445,-1.1875,10.1625,137.108,1.952,16.822,-15.663,-3.139,-6.659,245.33,9.856,44.349,49.174,20.908,104.308,1608.944,231.409,123.793,93.448,45.042,62.682,982.073
10.575,120.4125,-0.5275,9.33,137.163,1.952,16.818,-16.751,-2.479,-7.488,280.579,6.148,56.07,41.533,18.566,125.428,1606.351,230.957,123.547,93.304,44.947,62.609,980.428
10.6,120.1025,0.4625,9.86,137.218,1.952,16.815,-17.115,-1.49,-6.955,292.94,2.219,48.372,25.494,10.359,119.038,1603.754,230.505,123.3,93.159,44.852,62.537,978.779
10.625,120.1225,1.9725,11.045,137.272,1.952,16.811,-17.149,0.02,-5.766,294.105,0.0,33.247,-0.352,-0.118,98.884,1601.153,230.052,123.054,93.015,44.757,62.464,977.13
10.65,120.5825,2.8175,12.2125,137.327,1.952,16.807,-16.745,0.865,-4.594,280.378,0.749,21.109,-14.492,-3.977,76.933,1598.546,229.599,122.807,92.87,44.662,62.39,975.476
10.675,120.9625,3.22,13.825,137.381,1.951,16.803,-16.418,1.269,-2.978,269.567,1.61,8.868,-20.835,-3.779,48.894,1595.934,229.144,122.559,92.725,44.567,62.317,973.818
10.7,121.8275,3.545,15.305,137.436,1.951,16.799,-15.609,1.594,-1.494,243.625,2.541,2.232,-24.88,-2.381,23.319,1593.318,228.689,122.312,92.58,44.472,62.243,972.159
10.725,122.3625,4.0075,15.86,137.49,1.951,16.796,-15.128,2.057,-0.936,228.841,4.229,0.876,-31.11,-1.925,14.159,1590.696,228.234,122.064,92.434,44.377,62.169,970.497
10.75,122.2225,4.2925,15.8425,137.544,1.951,16.792,-15.322,2.342,-0.95,234.748,5.483,0.902,-35.875,-2.223,14.548,1588.07,227.777,121.815,92.288,44.281,62.095,968.831
10.775,122.665,4.26,15.405,137.597,1.951,16.788,-14.932,2.309,-1.383,222.965,5.331,1.913,-34.478,-3.193,20.651,1585.439,227.32,121.567,92.142,44.185,62.021,967.163
10.8,123.3575,4.4475,14.345,137.651,1.951,16.784,-14.294,2.496,-2.439,204.304,6.233,5.949,-35.684,-6.089,34.862,1582.803,226.863,121.318,91.995,44.09,61.946,965.492
10.825,124.065,4.4575,13.4625,137.704,1.951,16.78,-13.639,2.506,-3.318,186.022,6.283,11.006,-34.186,-8.315,45.247,1580.163,226.405,121.069,91.849,43.994,61.871,963.818
10.85,124.93,3.87,12.55,137.757,1.951,16.777,-12.827,1.919,-4.227,164.532,3.683,17.868,-24.615,-8.112,54.22,1577.518,225.946,120.819,91.701,43.898,61.796,962.141
10.875,125.5975,3.0125,12.9225,137.81,1.95,16.773,-12.213,1.063,-3.851,149.145,1.129,14.826,-12.976,-4.091,47.024,1574.868,225.486,120.569,91.554,43.801,61.721,960.461
