t,u,v,w
1.61,0.374,-0.0233,-0.0322
1.62,0.3371,-0.0233,-0.0322
1.63,0.3042,-0.0233,-0.0322
1.64,0.3042,-0.0233,-0.0322
1.65,0.3042,-0.0233,-0.0322
1.66,0.3042,-0.0233,-0.0322
1.67,0.3042,-0.0233,-0.0322
1.68,0.3042,-0.0233,-0.0322
1.69,0.3042,-0.0233,-0.0322
1.7,0.3042,-0.0233,-0.032
1.71,0.3042,-0.0233,-0.0322
1.72,0.3042,-0.0075,-0.0322
1.73,0.3042,-0.0094,-0.0322
1.74,0.2714,-0.0978,-0.0322
1.75,0.3449,-0.0415,0.0164
1.76,0.4184,-0.0836,0.0059
1.77,0.4184,-0.1257,0.0059
1.78,0.447,-0.0486,0.0059
1.79,0.4756,-0.0486,0.006
1.8,0.4756,-0.0486,0.0059
1.81,0.4756,-0.0486,0.0059
1.82,0.3858,-0.0486,0.0059
1.83,0.4049,-0.0486,0.0059
1.84,0.4049,-0.0486,0.0059
1.85,0.4049,-0.0486,0.0059
1.86,0.4049,-0.0486,0.0059
1.87,0.4049,-0.0486,0.006
1.88,0.405,-0.0486,0.0059
1.89,0.4049,-0.049,0.006
1.9,0.4049,-0.049,0.006
1.91,0.4049,-0.0486,0.0059
1.92,0.4049,-0.0486,0.0059
1.93,0.4049,0.0284,0.0059
1.94,0.4049,0.0121,0.0059
1.95,0.4049,0.0121,0.0059
1.96,0.4049,-0.0042,0.0059
1.97,0.4049,-0.0141,0.0059
1.98,0.4049,-0.0144,0.006
1.99,0.405,-0.014,0.0059
2,0.4049,-0.0144,0.006
2.01,0.405,-0.0144,0.006
2.02,0.4049,-0.0144,0.0059
2.03,0.4049,-0.0144,0.0059
2.04,0.4049,-0.0146,0.0059
2.05,0.4049,-0.0119,0.0059
2.06,0.4049,-0.0119,0.0059
2.07,0.424,-0.0119,0.0059
2.08,0.4528,-0.0093,0.0059
2.09,0.4186,-0.0449,0.0059
2.1,0.4186,-0.0064,0.0059
2.11,0.4186,-0.0064,0.0059
2.12,0.4186,-0.0064,0.0059
2.13,0.4186,-0.006,0.006
2.14,0.4186,-0.0064,0.0059
2.15,0.4186,-0.0064,0.0059
2.16,0.4186,-0.0064,0.0059
2.17,0.3843,0.0322,-0.0046
2.18,0.3401,0.0167,-0.01835
2.19,0.3401,0.0012,-0.01835
2.2,0.34,-0.0002,-0.01835
2.21,0.3401,-0.0002,-0.01835
2.22,0.3401,-0.0002,-0.01835
2.23,0.3401,-0.0002,-0.01835
2.24,0.3401,-0.0002,-0.01835
2.25,0.296,-0.0002,-0.01835
2.26,0.349,-0.0002,-0.01835
2.27,0.4019,-0.0002,-0.01835
2.28,0.4548,-0.0002,-0.01835
2.29,0.5078,-0.0002,-0.018
2.3,0.5078,-0.0002,-0.01835
